"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_artifact_callback","_callback","_items._artifact_callback","_items._callback","_items._items.activation","_items._items.bc_type","_items._items.iterations","_items._items.learning_rates","_items._items.loss_type","_items._items.n_layers","_items._items.net_type","_items._items.num_boundary","_items._items.num_domain","_items._items.optimizers","_items._items.size_layers","_items._items.train_distribution","_items._settings","_items._users_cnt","_items.activation","_items.bc_type","_items.iterations","_items.learning_rates","_items.loss_type","_items.n_layers","_items.net_type","_items.num_boundary","_items.num_domain","_items.num_samples","_items.optimizers","_items.size_layers","_items.train_distribution","_settings","_users_cnt","activation","bc_type","iterations","learning_rate","learning_rates","loss_type","n_layers","net_type","num_boundary","num_domain","num_sample","num_samples","optimizer","optimizers","size_layers","train_distribution","accuracy_metric","loss_test","loss_train","steps"
"grateful-sweep-272","finished","-","damien-bonnet","","2023-03-30T19:48:47.000Z","6543","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","9","USnet","","","","75","[""adam"",""L-BFGS""]","","100","Hammersley","0.0038221196737140417","0.000006932854375918396","0.000008488790626870468","13000"
"glamorous-sweep-184","finished","-","damien-bonnet","","2023-03-29T18:15:24.000Z","9688","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","6","USnet","","","","100","[""adam"",""L-BFGS""]","","100","Hammersley","0.0039105904288589954","0.0000063549523474648595","0.000007689750418649055","13000"
"pretty-sweep-89","finished","-","damien-bonnet","","2023-03-29T02:03:53.000Z","11881","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","10","USnet","","","","75","[""adam"",""L-BFGS""]","","75","Hammersley","0.004610286094248295","0.000018271573935635388","0.00002198361471528187","13000"
"true-sun-1153","finished","-","damien-bonnet","","2023-05-15T19:06:02.000Z","1515","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","","[0.001,null]","pde","3","Simplified_NN","","","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.000014619590729125775","0.000005937084551987937","0.0000068982299126219004","13000"
"fanciful-sweep-251","finished","-","damien-bonnet","","2023-03-30T16:29:40.000Z","6055","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","8","USnet","","","","75","[""adam"",""L-BFGS""]","","100","Hammersley","0.003743380308151245","0.000007209826435428113","0.000008891236575436778","13000"
"desert-sweep-241","finished","-","damien-bonnet","","2023-03-30T14:54:13.000Z","5718","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","9","USnet","","","","50","[""adam"",""L-BFGS""]","","100","Hammersley","0.004043098539113998","0.000009499979569227436","0.000011493014426378068","13000"
"easy-glitter-1124","finished","-","damien-bonnet","","2023-05-11T16:13:50.000Z","1186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","","[0.001,null]","pde","3","USnet","100","10000","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.004028483293950558","0.000006724634658894502","0.00000827083204057999","13000"
"usual-sweep-73","finished","-","damien-bonnet","","2023-03-28T23:06:21.000Z","11418","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","8","USnet","","","","75","[""adam"",""L-BFGS""]","","75","Hammersley","0.003921070136129856","0.0000110782784759067","0.000013514763850253075","13000"
"fiery-night-1134","finished","-","damien-bonnet","","2023-05-11T19:33:33.000Z","1231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","","[0.001,null]","pde","3","USnet","100","10000","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.003437786130234599","0.000006535685315611772","0.000008050992619246244","13000"
"logical-sweep-167","finished","-","damien-bonnet","","2023-03-29T15:07:54.000Z","11091","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","7","USnet","","","","50","[""adam"",""L-BFGS""]","","75","Hammersley","0.0032949764281511307","0.000006987008418946061","0.000008096290002868045","13000"
"true-sweep-286","finished","-","damien-bonnet","","2023-03-30T22:34:14.000Z","4036","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","6","USnet","","","","100","[""adam"",""L-BFGS""]","","50","Hammersley","0.005088572856038809","0.00001987166251637973","0.000024162074623745863","13000"
"glamorous-feather-1147","finished","-","damien-bonnet","","2023-05-15T16:30:41.000Z","1634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","","[0.001,null]","pde","3","Simplified_NN","","","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.0000135984446387738","0.000005177756065677386","0.0000056608469094499014","13000"
